video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=sOGU0jgZKjg&pp=ygURTGl2aW5nIGluIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@chelseakaywright,Chelsea Kay Wright,"things you should know about before moving to Seattle| the good, the bad and the ugly, Q&A",17K,2 years,"Whether you're moving here for a summer or making the next step, here's you're guide to living in Seattle and what life here has ...",2026-01-22 01:43:32.865375
/watch?v=7ka1rd-wJ0o&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,The 5 Most Popular Seattle Neighborhoods To Live In (explained by a local),124K,2 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monicachurchrealestate.com/ or ...,2026-01-22 01:43:32.866550
/watch?v=jRm6WCmIrGM&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@CityGeek,City Geek,"Seattle Overview | An informative introduction to Seattle, Washington",468K,2 years,"Seattle is arguably the most beautiful city in America. I lived there for a couple years as a child, which really sparked my interest in ...",2026-01-22 01:43:32.867752
/watch?v=qM3NNMzX87M&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@SalaryTransparentStreet,Salary Transparent Street,"Salary Transparent Street Compilation | Seattle, WA📍",100K,3 years,"Seattle, WA  Salary Transparent Street ™️ The cost of living in Seattle, WA is 53% higher than the national average.",2026-01-22 01:43:32.869194
/watch?v=2KTMWL4fOjo&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@monicachurchrealtor,Monica Church Seattle Real Estate,Should You Move To Seattle? I Asked 3 Transplants About Their Experience,103K,4 years,Interested in buying or selling in the Seattle/Bellevue area? Get in touch with me at: https://monicachurchrealestate.com/ or ...,2026-01-22 01:43:32.870440
/watch?v=bK6x6ohhJ3o&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,The Seattle Real Estate Market Has SHIFTED,3K,2 months,"In this video, I am giving you a breakdown on why this is the most buyer friendly market we've had since 2019. Thinking about ...",2026-01-22 01:43:32.871589
/shorts/x4dl9bA-ocQ,/@livinginseattlearea8586,Living In Seattle Area,What Fall & Winter Are Like in Seattle Washington - Living in Seattle,94K,4 years,One of the most common questions we get asked from people moving to Seattle Washington. Choosing the right neighborhood for ...,2026-01-22 01:43:32.872819
/watch?v=av_NQkxRnPc&pp=ygURTGl2aW5nIGluIFNlYXR0bGXSBwkJhwoBhyohjO8%3D,/@IslandHopperTV,Island Hopper TV,Best Things To Do in Seattle Washington 2026 4K,173K,8 months,In this best things to do in Seattle Washington travel guide we show you all around this Pacific Northwest Gem. We show you 25 ...,2026-01-22 01:43:41.047509
/watch?v=dAFx2NowfM8&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@livinginseattle-brycegreenleaf,Living In Seattle - Bryce Greenleaf,"Living In Snohomish, WA - Small Town Charm North of Seattle",1.5K,5 months,"Are you looking for a great place to live outside of Seattle? Maybe you're looking for something that has a small town charm, yet ...",2026-01-22 01:43:41.051223
/watch?v=Bz0JGAtNF9o&pp=ygURTGl2aW5nIGluIFNlYXR0bGU%3D,/@KellyLira,Kelly Lira,LIVING IN SEATTLE: One Year Later,97K,5 years,"It's been one year since we moved from California to Seattle! We found our first apartment, I got a new job, we got a dog, and now ...",2026-01-22 01:43:41.055429
